ID,PLAYER,TEAM,AGE,GP,W,L,MIN,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,Plus/Minus,AllStarRank
244,Dennis Smith Jr.,DET,23,15,5,10,18.3,7.3,2.8,7.3,38.5,0.9,2.9,31.8,0.7,0.9,78.6,0.7,2,2.7,3.3,1.1,1.2,0.5,1.5,19.4,1,1,-1.5,86.2
245,James Ennis III,ORL,30,24,7,17,21.4,7.3,2.5,5,50,0.9,2,44.7,1.4,1.8,78.6,1.1,2.8,3.9,1.3,0.9,0.8,0.3,2.2,16.3,1,0,0.4,90.8
246,Willy Hernangomez,NOP,27,20,8,12,18,7.3,3,5.5,54.5,0.1,0.3,20,1.2,1.8,66.7,2.7,4.3,7,1.3,0.6,0.4,0.5,1.4,19.5,3,0,0.5,85
247,Talen Horton-Tucker,LAL,20,33,21,12,17.5,7.2,2.8,6.5,44.1,0.5,1.9,28.6,1,1.2,82.1,0.3,2.1,2.4,2,1.3,0.8,0.6,2.1,16,0,0,-1.2,51.8
248,Jarrett Culver,MIN,22,19,4,15,19.8,7.2,2.8,6.7,42.2,0.4,1.8,22.9,1.1,1.8,60,1.6,3.2,4.7,0.8,1.2,0.6,0.4,2.1,15.9,1,0,-4.3,120.5
249,Timothe Luwawu-Cabarrot,BKN,26,34,21,13,19.7,7.2,2.5,6.5,38.9,1.6,4.3,36.3,0.6,0.8,76.9,0.5,1.8,2.4,1.3,0.7,0.7,0.1,1.9,13.8,0,0,-0.1,79.8
250,Tomas Satoransky,CHI,29,23,11,12,20.7,7.2,2.6,4.9,53.6,0.8,1.7,48.7,1.1,1.3,89.7,0.3,2.3,2.6,4.4,1.5,0.5,0.2,1.2,17.6,0,0,3,116.2
251,Moritz Wagner,ORL,24,22,10,12,14.3,7.1,2.5,4.8,53.3,0.5,1.6,34.3,1.5,2,75,0.5,2.5,3,1.2,0.6,0.7,0.3,2.3,14.9,0,0,1.1,81.8
252,Terence Davis,SAC,24,30,14,16,14.7,7.1,2.6,6.2,42.2,1.3,3.7,36.4,0.5,0.6,88.9,0.3,1.6,1.9,1.1,0.8,0.5,0.2,1.5,12.5,0,0,1.4,80.8
253,Max Strus,MIA,25,19,6,13,14.9,7.1,2.5,5.4,45.6,1.6,4.5,36.5,0.5,0.7,71.4,0.1,0.9,1.1,0.5,0.2,0.2,0,1.3,9.5,0,0,-2.3,119.2
254,Saben Lee,DET,22,15,5,10,15.9,7.1,2.5,4.7,54.3,0.3,0.4,66.7,1.7,2.6,66.7,0.4,1.1,1.5,2.3,0.9,0.7,0.3,1.7,14.7,0,0,-0.3,145.8
255,Maxi Kleber,DAL,29,22,14,8,25.9,7,2.2,5,44,1.7,3.7,45.1,1,1,95.7,0.9,4.5,5.3,1.4,0.5,0.5,0.9,2.3,19,0,0,2.2,62.5
256,Xavier Tillman Sr.,MEM,22,27,14,13,20.4,7,3,5.9,51.3,0.4,1.3,28.6,0.6,0.9,73.9,1.5,3.1,4.6,1.7,0.9,0.9,0.6,2.4,18.7,0,0,1.2,83
257,Robert Williams III,BOS,23,29,16,13,16.1,6.9,3,4.2,72.1,0,0,0,0.9,1.3,64.1,2.3,3.6,5.9,1.1,1,0.9,1.4,1.8,21.6,2,0,-1.3,111
258,Garrison Mathews,WAS,24,28,13,15,16.2,6.9,1.9,4.5,42.1,1.4,3.6,40,1.6,1.8,92,0.4,1.4,1.8,0.5,0.1,0.7,0.2,1.6,12.2,0,0,-1.9,127.8
259,Damyean Dotson,CLE,27,30,12,18,18.8,6.8,2.6,6.6,40.1,1,3.5,27.9,0.6,0.9,69.2,0.1,1.6,1.8,2.2,0.8,0.4,0.1,0.9,13,0,0,-3.2,128.2
260,Justin Patton,HOU,24,6,0,6,21.4,6.8,2.7,5.2,51.6,1,2.8,35.3,0.5,0.7,75,0.8,3.2,4,0.8,0.3,1.2,1.7,3.2,21.1,0,0,-5.3,#N/A
261,Jordan Poole,GSW,22,16,8,8,10.6,6.8,2.3,4.8,46.8,1.1,3.1,36.7,1.2,1.3,95,0.1,1.2,1.3,0.9,0.5,0.3,0.2,0.9,10.5,0,0,-0.5,69.2
262,Svi Mykhailiuk,OKC,24,35,9,26,17.4,6.8,2.3,6.1,37.7,1.5,4.6,33.5,0.7,0.9,80,0.3,1.7,2,1.4,1.1,0.7,0.2,0.9,12.9,0,0,-0.9,120.2
263,T.J. McConnell,IND,29,32,15,17,25.3,6.7,3.1,5.9,52.6,0.2,0.6,31.6,0.3,0.6,50,0.7,3,3.7,6.8,1.9,2,0.4,1.6,26.4,2,1,1.2,67.5
264,Spencer Dinwiddie,BKN,28,3,2,1,21.4,6.7,2,5.3,37.5,0.7,2.3,28.6,2,2,100,0,4.3,4.3,3,1.7,0.7,0.3,1.3,17.7,0,0,14,108.8
265,Cameron Payne,PHX,26,24,16,8,16.4,6.6,2.5,5.3,48,1,2.4,42.1,0.5,0.6,92.9,0.1,1.7,1.8,3.6,1,0.6,0.2,1.8,15.7,1,0,3.2,122
266,Kent Bazemore,GSW,31,35,17,18,16.8,6.6,2.4,5,48,1.1,2.5,43.8,0.7,0.9,75,0.4,2.6,3,1.6,1.1,0.9,0.5,2.2,15.7,0,0,3.1,95.5
267,Pat Connaughton,MIL,28,33,20,13,21.1,6.5,2.4,5.3,44.3,1.4,3.5,39.3,0.4,0.5,82.4,0.9,3.3,4.3,1.4,0.4,0.7,0.5,1.6,16.8,0,0,4.1,74.2
268,Jakob Poeltl,SAS,25,32,18,14,23.4,6.5,3,5,61,0,0,0,0.5,1.5,31.9,3,4.3,7.3,1.8,1.2,0.6,1.6,2.2,23.4,4,0,3.7,76.5
269,Marquese Chriss,GSW,23,2,0,2,13.4,6.5,2.5,7,35.7,0.5,2.5,20,1,2,50,1.5,5,6.5,1,1,0,1,1.5,17.8,0,0,-12.5,121
270,Justin Jackson,MIL,26,25,8,17,16.2,6.4,2.4,6,40.9,0.9,3.2,29.1,0.6,0.8,80,0.4,1.9,2.3,1.5,1,0.4,0,1,11.9,0,0,-1.7,140.5
271,Damion Lee,GSW,28,37,19,18,19.2,6.4,2.1,4.8,44.6,1.4,3.7,37.7,0.8,0.8,90.3,0.4,3,3.4,1.4,0.5,0.7,0.1,1.5,14.5,0,0,1.4,50.2
272,Jeff Teague,MIL,33,28,14,14,18.1,6.4,2.1,5.6,37.3,0.7,1.6,42.2,1.5,1.7,89.6,0.3,1.4,1.6,2.1,1.1,0.8,0.2,1.2,13.4,0,0,1.7,87.8
273,Cory Joseph,DET,29,36,14,22,20.8,6.4,2.5,5.6,44.8,0.7,2.1,32,0.8,1,77.1,0.6,1.6,2.2,2.4,1,0.7,0.2,2.3,14.1,0,0,-5.1,110
274,Jake Layman,MIN,27,24,4,20,15.5,6.4,2.5,4.8,51.3,0.6,2,31.9,0.9,1.1,77.8,0.3,1.3,1.5,0.7,0.7,0.8,0.5,1.1,12.4,0,0,-3.3,148
275,Abdel Nader,PHX,27,19,13,6,14.4,6.4,2.3,4.7,48.9,0.7,1.7,39.4,1.1,1.3,80,0.2,2.3,2.4,0.8,0.7,0.3,0.4,1.3,11.8,0,0,1.8,98
276,Derrick Favors,UTA,29,34,25,9,16.2,6.3,2.5,3.9,64.9,0,0,0,1.3,1.7,78.9,1.9,3.6,5.5,0.8,0.6,0.5,0.9,2.4,17.9,1,0,1.7,83
277,Aron Baynes,TOR,34,33,16,17,19.7,6.3,2.7,6.1,44,0.5,2.1,24.3,0.5,0.6,75,1.6,3.8,5.4,1.1,0.9,0.3,0.3,2.4,15.4,0,0,-1.5,111.5
278,Dylan Windler,CLE,24,22,8,14,18.9,6.3,2.1,4.7,45.6,1,2.9,36.5,1,1.2,80.8,0.8,3.3,4.1,1.3,1,0.7,0.5,1.3,15.5,1,0,-2.1,137.5
279,Frank Mason,ORL,27,4,1,3,19.8,6.3,2.3,6,37.5,0.5,1.3,40,1.3,1.8,71.4,0.8,2.3,3,3,1.3,0,0,1.8,13.1,0,0,-4.8,#N/A
280,Ben McLemore,LAL,28,24,8,16,15.5,6.2,2.1,5.8,35.7,1.3,4.3,31.4,0.7,1,73.9,0.4,1.7,2.1,1,1,0.6,0,1.4,11.1,0,0,-3.2,114.5
281,Kenrich Williams,OKC,26,36,15,21,18.9,6.2,2.6,4.7,55.4,0.6,1.4,42,0.4,0.7,62.5,1.3,2.7,4,1.6,0.9,0.8,0.2,1.8,15.5,0,0,0,124
282,D.J. Augustin,HOU,33,34,21,13,19.5,6.1,1.9,5.4,35,1.3,3.6,36.6,1,1.1,89.7,0.3,1,1.4,3,0.9,0.6,0,0.8,13.2,0,0,2.7,73.2
283,Dwight Howard,PHI,35,36,24,12,15.9,6.1,2.3,3.8,58.7,0.1,0.3,36.4,1.5,2.8,53,2.5,4.8,7.3,0.8,1.7,0.4,0.9,2.9,18.1,3,0,-2,46.2
284,Jarred Vanderbilt,MIN,22,34,5,29,19.2,6.1,2.5,4.1,61.2,0,0.1,50,1,1.9,55.6,1.8,3.9,5.7,1.5,1,1.1,0.6,2.1,19.5,3,0,-3.5,91
285,Precious Achiuwa,MIA,21,35,17,18,14,6.1,2.4,4.1,57.9,0,0,0,1.3,2.3,54.3,1.3,2.7,4,0.6,0.9,0.4,0.5,1.7,13.7,2,0,-2,64
286,Dakota Mathias,PHI,25,8,4,4,15.4,6,2.4,6,39.6,1,3.3,30.8,0.3,0.8,33.3,0.1,0.8,0.9,1.6,0.1,0.1,0.4,0.9,10.9,0,0,-3.9,#N/A
287,Juancho Hernangomez,MIN,25,17,4,13,16,5.9,2.1,5.3,40,0.9,3.1,30.2,0.8,1.1,68.4,0.8,3.6,4.4,0.6,0.4,0.4,0.1,0.8,13.1,0,0,-2,87
288,Deni Avdija,WAS,20,30,14,16,21.5,5.9,2.3,5.2,43.3,1,2.9,35.6,0.4,0.6,57.9,0.4,4.2,4.7,1.3,0.8,0.7,0.2,2.5,15.3,0,0,-1,54.8
289,Khem Birch,TOR,28,35,13,22,20.1,5.9,2.2,4.4,49.7,0.1,0.4,30.8,1.5,2,73.9,2.6,2.8,5.3,1.1,0.5,0.6,0.7,1.5,17.3,2,0,-2.6,92.2
290,James Johnson,NOP,34,27,12,15,17.9,5.9,2.4,5.2,46.4,0.6,2.1,25.9,0.5,1,53.8,0.4,2.6,3.1,1.7,1,0.9,0.8,2,16.2,0,0,-1.3,90.5
291,Gabe Vincent,MIA,25,25,14,11,15,5.8,2.1,5.7,36.4,0.9,3.6,25.8,0.8,0.8,90.5,0.1,1,1.1,1.2,0.8,0.5,0.1,1.8,9.9,0,0,-1.2,94.2
292,Juan Toscano-Anderson,GSW,28,23,10,13,20.6,5.8,2.3,4.1,56.4,0.7,1.5,42.9,0.6,0.8,72.2,0.7,3.8,4.5,2.2,1.1,0.6,0.5,2.1,16.7,0,0,0.1,73
293,Alex Caruso,LAL,27,29,18,11,19.9,5.8,2.1,5,42.8,1,2.4,40,0.6,0.8,69.6,0.6,2.2,2.8,2.4,1.1,1,0.2,1.8,15.3,0,0,3.7,79.5
294,Trey Lyles,SAS,25,19,9,10,16.4,5.8,2.2,4.4,50.6,0.7,1.9,37.8,0.6,1,63.2,0.4,3.6,4.1,0.6,0.2,0.3,0.1,0.6,12.3,1,0,-4.1,145
295,Frank Ntilikina,NYK,22,9,6,3,14.1,5.8,2,4.1,48.6,1.4,2.3,61.9,0.3,0.6,60,0.1,0.7,0.8,0.8,0.6,0.9,0,1.7,10,0,0,-1.6,119.8
296,Draymond Green,GSW,31,31,16,15,29.6,5.7,2.2,5.6,39.1,0.5,1.9,23.7,0.9,1.2,71.1,0.7,5.3,6.1,8.6,2.7,1.4,0.7,3.2,29.6,5,1,2.7,45.5
297,Bismack Biyombo,CHA,28,33,15,18,22.3,5.6,2.4,4.2,56.9,0,0,0,0.9,1.8,48.3,2.2,3.4,5.6,1.5,0.9,0.3,1.2,2.5,17.8,1,0,-2.8,84.2
298,Willie Cauley-Stein,DAL,27,31,15,16,17.3,5.5,2.3,3.6,62.5,0,0.2,16.7,1,1.5,64.6,1.3,3.3,4.5,0.8,0.5,0.3,0.7,2.4,14.8,1,0,1.9,128.5
299,Mason Jones,PHI,22,22,7,15,11.1,5.5,1.7,4,43.7,0.8,2.2,36.7,1.3,2,65.1,0.2,1.9,2.1,1.3,1.2,0.3,0,1,9.7,0,0,-3.6,119
300,Caleb Martin,CHA,25,26,13,13,15.2,5.5,2.1,5.1,41.4,0.7,2.2,33.3,0.5,1,53.8,0.8,2,2.8,1.2,0.7,0.8,0.3,1,13.2,0,0,-2.2,137.8
301,Devin Vassell,SAS,20,26,16,10,17.3,5.5,1.9,4.8,39.7,1,2.4,39.7,0.7,0.8,85.7,0.6,2.6,3.2,1.1,0.5,1.1,0.3,1.2,14.9,0,0,0.9,123.5
302,Facundo Campazzo,DEN,30,30,18,12,16.3,5.5,1.7,4.2,40.5,1.1,2.9,37.9,1,1.2,81.1,0.2,0.9,1,2.1,0.8,1,0.2,1.9,12.6,0,0,1.6,87.5
303,Semi Ojeleye,BOS,26,34,17,17,19,5.5,1.9,4.4,41.7,1.2,3.1,38.3,0.6,0.8,71.4,0.6,2.3,2.9,0.8,0.4,0.3,0,1.2,10.7,0,0,0.4,121.5
304,Isaiah Stewart,DET,20,34,10,24,18.4,5.4,2.4,4.3,55.5,0,0.1,20,0.6,0.9,68.8,2.4,3.4,5.8,0.7,0.9,0.5,1,2.6,17.1,3,0,1,135.5
305,Carsen Edwards,BOS,23,14,6,8,10.5,5.4,2.1,4.5,46,0.8,2.4,32.4,0.5,0.6,77.8,0.1,0.9,1,0.4,0.1,0.3,0.1,1.1,8.2,0,0,-1.1,120.8
306,Jordan McLaughlin,MIN,25,24,2,22,19.4,5.4,2.2,5.9,37.6,0.7,1.9,34.8,0.3,0.4,80,0.5,1.8,2.3,4.7,1.1,1,0.2,1,17.7,0,0,-3.6,128
307,Georges Niang,UTA,28,36,27,9,13.4,5.4,2,4.6,43.1,1.3,3.3,38.5,0.1,0.1,100,0.3,1.8,2.2,0.7,0.6,0.3,0.1,1.5,9.5,0,0,3.8,92.8
308,Markieff Morris,LAL,31,31,18,13,17.4,5.4,1.9,4.7,40.7,0.9,2.8,32.2,0.6,0.9,69,0.7,3.1,3.8,1,0.6,0.2,0.3,1.6,12.3,0,0,0.9,86
309,Grant Williams,BOS,22,28,13,15,18.5,5.3,1.9,4.1,47,0.9,2.1,43.3,0.5,1,51.7,1,1.9,2.9,0.9,1,0.5,0.4,2.8,11.7,0,0,-2.7,79.8
310,Alex Len,WAS,28,26,10,16,13.5,5.3,2.1,3.3,62.8,0.2,0.8,30,0.9,1.6,57.1,0.7,2.4,3.1,0.9,1,0.3,1.2,1.8,14.1,0,0,-2.3,134.5
311,Glenn Robinson III,SAC,27,23,9,14,16.1,5.3,1.8,4.3,42.4,0.7,1.9,36.4,0.9,1,91.3,0.5,1.5,2,0.9,0.5,0.2,0.1,1,9.3,0,0,-5.7,101.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,Nassir Little,POR,21,20,11,9,11.9,5.3,1.7,3.5,47.1,0.9,1.9,45.9,1.1,1.3,88,0.7,1.6,2.3,0.4,0.5,0.2,0.3,1.1,9.2,0,0,-0.7,97.5
314,Kira Lewis Jr.,NOP,20,21,8,13,13,5.2,2,5.1,38.9,0.6,1.9,33.3,0.6,1,65,0.1,0.7,0.8,1.8,0.4,0.6,0,1.2,10.4,0,0,0,81.8
315,Jerome Robinson,WAS,24,13,3,10,17,5.2,1.7,5.2,32.8,0.7,2.4,29,1.2,1.3,88.2,0.2,2.4,2.5,1.4,0.8,0.5,0.2,1.6,11.4,0,0,-5.4,139.2
316,Al-Farouq Aminu,CHI,30,9,3,6,18.1,5.2,1.9,4.8,39.5,0.7,1.7,40,0.8,1,77.8,1,3.1,4.1,1.7,1.1,0.9,0.6,1,15.9,0,0,-6.4,78.2
317,Ish Smith,WAS,32,19,6,13,20.6,5.2,2.3,6.1,37.9,0.3,1.1,25,0.3,0.8,40,0.5,2.9,3.5,4.7,1,0.8,0.2,0.9,18.5,0,0,1.2,129.2
318,Edmond Sumner,IND,25,22,8,14,11.4,5.1,1.9,3.7,51.2,0.4,1.2,34.6,0.9,1.2,74.1,0.4,1,1.4,0.5,0.8,0.6,0.1,1.2,8.8,0,0,-0.1,146.2
319,Jaden McDaniels,MIN,20,30,4,26,19.1,5.1,1.9,5,38.3,0.9,2.8,33.7,0.4,0.8,52.2,0.6,2.8,3.4,1,0.8,0.3,1,2.4,13.9,0,0,-1.2,144
320,Kevin Knox II,NYK,21,26,13,13,15.3,5.1,1.8,4.6,39.5,1.1,2.8,38.9,0.4,0.5,78.6,0.3,1.5,1.9,0.7,0.6,0.3,0.2,1.3,9.4,0,0,-2.6,115
321,Jordan Nwora,MIL,22,10,7,3,8.2,5.1,1.7,3.7,45.9,0.8,1.6,50,0.9,1,90,0.1,1.4,1.5,0,1,0.4,0.2,0.9,7.7,0,0,-0.7,102.8
322,Tony Snell,ATL,29,23,12,11,18.3,5.1,1.8,3.7,48.2,1.5,2.7,56.5,0,0,0,0.5,1.6,2,1.2,0.6,0.1,0.3,1.3,10,0,0,1.2,135.8
323,Rodney Hood,TOR,28,30,19,11,19.2,5,2.1,5.6,36.9,0.7,2.2,29.9,0.2,0.3,62.5,0.3,1.4,1.7,1.1,0.8,0.6,0.1,1.4,9.7,0,0,-2.4,86.8
324,Nerlens Noel,NYK,27,32,16,16,22.2,4.9,2.1,3.5,61.3,0,0.1,0,0.7,1,66.7,2.1,4,6.1,0.6,1.2,1,2,2.6,21.1,1,0,-0.2,123
325,Andre Iguodala,MIA,37,34,18,16,21.6,4.9,1.7,4.3,38.8,1.1,3.3,33.9,0.4,0.7,56,0.6,3.1,3.7,2.3,1.1,1.1,0.5,1.5,16.3,0,0,-2.3,64.8
326,Daniel Gafford,WAS,22,26,12,14,13.2,4.8,1.9,2.9,66.7,0,0,0,1,1.5,66.7,1.3,1.8,3.2,0.6,0.7,0.4,1.2,1.8,13.8,0,0,-1.1,131.5
327,DaQuan Jeffries,SAS,23,12,2,10,15.7,4.8,1.8,4.3,42.3,0.7,2,33.3,0.5,0.6,85.7,0.6,1.2,1.8,0.3,0.4,0.4,0.3,1.4,9.3,0,0,0.6,131
328,Terance Mann,LAC,24,35,22,13,15.7,4.8,1.8,3.7,48.1,0.4,1,38.2,0.9,1.1,80,0.9,2.4,3.3,1.3,0.7,0.4,0.2,1.7,11.7,0,0,-1.9,73.2
329,Brad Wanamaker,CHA,31,37,19,18,16.2,4.8,1.6,4.4,35.8,0.4,1.5,23.2,1.3,1.5,89.1,0.2,1.5,1.7,2.7,0.9,0.7,0.2,1.4,12.5,0,0,-0.5,104.5
330,Marc Gasol,LAL,36,35,24,11,20.1,4.8,1.5,3.8,40.3,0.9,2.4,36.5,0.8,1,80.6,0.7,3.4,4.1,2,0.9,0.5,1.3,2.3,17.1,0,0,2.1,59
331,Javonte Green,CHI,27,22,11,11,15,4.8,1.8,3.2,54.9,0.3,1,31.8,0.9,1.4,66.7,0.9,1.4,2.3,0.5,0.5,0.8,0.1,1.3,10.4,0,0,-1.4,129.8
332,Mo Bamba,ORL,23,17,5,12,9.4,4.8,2.1,3.9,52.2,0.4,1.1,36.8,0.2,0.4,66.7,1.1,2.7,3.8,0.2,0.4,0.2,0.8,1.2,12.1,0,0,-0.4,76.2
333,Rodney McGruder,DET,29,12,3,9,9.6,4.8,1.8,3.6,51.2,0.7,1.3,50,0.4,0.5,83.3,0.3,0.7,1,1,0.5,0.3,0.1,0.7,8.2,0,0,-1.2,94.8
334,Josh Okogie,MIN,22,29,7,22,19.2,4.7,1.6,4.6,35.1,0.4,1.9,21.8,1.1,1.4,75.6,0.9,1.6,2.5,1,0.8,0.8,0.5,2,12.5,0,0,-4.6,92.8
335,Obi Toppin,NYK,23,27,14,13,12.7,4.7,1.9,4,48.6,0.5,1.6,29.5,0.4,0.5,71.4,0.3,2.1,2.5,0.6,0.6,0.3,0.4,1,10,0,0,-0.6,113
336,Luka Samanic,SAS,21,9,4,5,11,4.7,1.7,3.8,44.1,0.9,2.2,40,0.4,0.9,50,0.7,2.4,3.1,0.1,0.7,0.3,0.2,1.1,9.6,0,0,4.1,141.5
337,Tyler Johnson,BKN,29,18,13,5,13.9,4.7,1.6,4,38.9,1.2,2.8,41.2,0.4,0.4,100,0.2,1.5,1.7,0.9,0.3,0.3,0,0.7,8.9,0,0,2.1,137.2
338,Dwight Powell,DAL,29,23,14,9,15.1,4.6,1.3,2.9,46.3,0,0.3,12.5,1.9,2.5,75.4,1,2.2,3.2,0.9,0.7,0.6,0.3,2.3,11.6,0,0,1.1,85.5
339,Killian Hayes,DET,19,7,1,6,21.1,4.6,1.9,6.7,27.7,0.7,2.9,25,0.1,0.3,50,0.1,1,1.1,3.6,2.4,0.3,0,2.1,9.7,0,0,-5.4,117.2
340,Boban Marjanovic,DAL,32,18,6,12,7.8,4.6,2,4,50,0,0.2,0,0.6,0.8,71.4,1.5,2.4,3.9,0.2,0.4,0.1,0.1,0.9,9.4,1,0,1,59.5
341,Jalen McDaniels,CHA,23,17,7,10,12.5,4.5,1.7,3.9,43.9,0.4,1.4,26.1,0.8,1.1,68.4,0.5,2.2,2.6,0.5,0.8,0.1,0.2,1.8,8.6,0,0,-2.1,146.5
342,Langston Galloway,PHX,29,25,18,7,10.5,4.5,1.5,3.3,46.3,0.8,1.8,45.7,0.6,0.6,100,0.2,0.9,1,0.6,0.3,0.2,0,0.6,6.9,0,0,0.5,87.8
343,Patrick Patterson,LAC,32,10,7,3,13,4.5,1.6,3.8,42.1,1,2.8,35.7,0.3,0.4,75,0.4,1.6,2,0.5,0.7,0.3,0.1,1.3,8.2,0,0,-0.6,111
344,DeAndre' Bembry,TOR,26,27,15,12,16.4,4.4,1.8,3.2,57,0.3,0.8,36.4,0.5,0.7,70,0.4,1.6,2,2,1,0.6,0.3,1.6,11.3,0,0,0.2,127.5
345,Jaxson Hayes,NOP,21,25,9,16,12.4,4.4,1.8,2.7,67.6,0,0,0,0.8,1.2,65.5,1.2,2.3,3.6,0.4,0.6,0.4,0.5,1.8,11.1,0,0,-1.7,137
346,P.J. Tucker,MIL,36,32,11,21,30,4.4,1.5,4.1,36.6,0.8,2.7,31.4,0.6,0.7,78.3,1,3.6,4.6,1.4,1,0.9,0.6,2.8,15.4,0,0,-5.2,61
347,Chuma Okeke,ORL,22,20,9,11,21.8,4.4,1.7,4.3,38.4,0.9,2.2,38.6,0.3,0.5,50,0.9,2.6,3.5,2,0.7,0.8,0.4,1,14.3,0,0,-0.2,106.2
348,Solomon Hill,ATL,30,36,16,20,19.1,4.3,1.5,4.1,35.6,1,3.1,31.8,0.4,0.5,88.2,0.5,1.8,2.3,0.9,0.6,0.7,0.2,1.6,10.4,0,0,-1.8,103.2
349,Isaiah Joe,PHI,21,20,10,10,12,4.3,1.5,4,36.7,1.2,3,38.3,0.3,0.3,100,0.3,0.9,1.2,0.8,0.3,0.4,0.2,1.1,8.2,0,0,-0.8,132.2
350,Mike Scott,PHI,32,17,12,5,17.3,4.3,1.5,3.7,41.3,1.1,2.9,38,0.1,0.3,40,0.2,2.5,2.8,0.3,0.6,0.5,0.1,1,9.2,0,0,-1.5,83.8
351,E'Twaun Moore,PHX,32,22,17,5,15.2,4.3,1.8,4.3,42.1,0.3,1.1,24,0.4,0.5,80,0.5,1.3,1.8,1.6,0.8,0.6,0.2,1.4,10.4,0,0,1.9,129.5
352,Brandon Goodwin,ATL,25,24,10,14,12,4.3,1.5,4.4,33,0.6,2.2,28.3,0.7,1,70.8,0.1,1,1.1,1.8,0.5,0.4,0,1,9,0,0,-0.7,102.8
353,Jahlil Okafor,DET,25,12,1,11,10,4.3,2.1,3.5,59.5,0,0.3,0,0.1,0.2,50,1.1,1.2,2.3,0.3,0.3,0.2,0.2,0.8,8,0,0,-3,98.8
354,Wesley Matthews,LAL,34,30,17,13,20.2,4.2,1.4,3.9,35.6,1,3.1,33.7,0.4,0.5,80,0.4,1.1,1.5,1.1,0.5,0.5,0.4,1.4,9.8,0,0,-1,64.2
355,Lamar Stevens,CLE,23,24,9,15,14.4,4.2,1.6,3.9,40.4,0.1,0.7,11.8,1,1.3,71.9,0.5,2.1,2.6,1,0.6,0.5,0.3,1.5,10.5,0,0,-4,143
356,Sekou Doumbouya,DET,20,32,8,24,13.7,4.2,1.6,4.4,35.5,0.5,1.9,25,0.6,0.8,73.1,0.5,1.8,2.3,0.7,0.6,0.4,0.1,1.6,8.8,0,0,-3.2,83.5
357,Aaron Nesmith,BOS,21,18,9,9,15.6,4.2,1.4,3.5,39.7,0.9,2.7,35.4,0.4,0.7,66.7,0.6,1.9,2.4,0.4,0.6,0.2,0.3,2.1,8.4,0,0,1.4,140.8
358,John Konchar,MEM,25,19,10,9,16.2,4.2,1.5,3.5,42.4,0.4,1.2,30.4,0.8,0.9,88.9,0.9,2.6,3.6,1.2,0.4,0.9,0.3,1.4,13.5,0,0,-0.8,118
359,Mychal Mulder,GSW,27,34,16,18,10.6,4.1,1.4,3.2,43.5,1.1,2.7,40.9,0.2,0.4,53.3,0,0.9,0.9,0.4,0.2,0.2,0.2,0.8,7,0,0,1.4,115.5
360,Troy Brown Jr.,CHI,21,17,5,12,13.6,4.1,1.5,4.2,36.6,0.6,2.2,28.9,0.4,0.7,58.3,0.5,2.5,3,0.8,0.7,0.1,0.1,1.5,8.9,0,0,-2.5,96.8
361,Devon Dotson,CHI,21,1,0,1,9.5,4,2,4,50,0,0,0,0,0,0,0,1,1,0,0,0,0,1,5.2,0,0,-2,138.8
362,Jabari Parker,BOS,26,2,0,2,12.5,4,2,3.5,57.1,0,0.5,0,0,0,0,0.5,2.5,3,0.5,1.5,0,0.5,2,8.4,0,0,-8.5,143.5
363,Jordan Bone,ORL,23,14,2,12,14,4,1.6,3.9,42.6,0.7,2.3,31.3,0,0,0,0.3,1.4,1.7,1.3,0.2,0.1,0,0.8,8.2,0,0,-4.2,91.2
364,Kevon Looney,GSW,25,27,14,13,14.9,3.9,1.6,2.7,59.5,0.1,0.2,33.3,0.6,0.8,76.2,1.8,2.4,4.2,1.6,0.6,0.4,0.3,1.9,12.7,0,0,2.1,114.5
365,Tony Bradley,OKC,23,12,5,7,10.6,3.9,1.8,3.3,56.4,0,0.1,0,0.3,0.4,60,1.8,2.4,4.2,0.5,0.1,0.3,0.6,0.9,12.1,1,0,-0.1,88.8
366,Sean McDermott,MEM,24,8,4,4,15.7,3.9,1.3,2.9,43.5,0.6,1.9,33.3,0.8,0.8,100,0.5,1,1.5,0.5,0.5,0.1,0.3,0.8,7.1,0,0,-5.8,113
367,Skylar Mays,ATL,23,16,7,9,8.3,3.9,1.2,3.1,38.8,0.5,1.4,34.8,1,1.1,88.9,0.4,0.4,0.8,1.1,0.3,0.4,0,0.4,7.3,0,0,1.2,104.8
368,Chris Silva,SAC,24,6,2,4,8.8,3.8,1,1.5,66.7,0.2,0.2,100,1.7,2,83.3,1.2,1.8,3,1,1.3,0.2,0.3,2.3,9.1,0,0,-1,145
369,Dante Exum,HOU,25,6,3,3,19.4,3.8,1.7,4.3,38.5,0.3,1.8,18.2,0.2,0.3,50,0.3,2.5,2.8,2.2,1.2,0.7,0.3,1.5,12.3,0,0,1,118.5
370,Isaiah Hartenstein,CLE,23,26,13,13,9.3,3.8,1.5,2.9,51.3,0,0,0,0.8,1.3,58.8,1.4,1.4,2.8,0.5,0.7,0.4,0.6,2,10.1,0,0,1.7,144.5
